n,T(n)
32801,4.00003045797348e-06
32901,4.00003045797348e-06
33001,4.00003045797348e-06
33101,6.00004568696022e-06
33201,4.00003045797348e-06
33301,3.999914042651653e-06
33401,4.00003045797348e-06
33501,3.00002284348011e-06
33601,4.00003045797348e-06
33701,3.00002284348011e-06
33801,4.00003045797348e-06
33901,4.00003045797348e-06
34001,6.00004568696022e-06
34101,5.999929271638393e-06
34201,4.999921657145023e-06
34301,6.9999368861317635e-06
34401,7.00005330145359e-06
34501,5.999929271638393e-06
34601,3.999914042651653e-06
34701,4.999921657145023e-06
34801,4.00003045797348e-06
34901,6.00004568696022e-06
35001,5.00003807246685e-06
35101,5.999929271638393e-06
35201,4.00003045797348e-06
35301,6.00004568696022e-06
35401,5.999929271638393e-06
35501,4.999921657145023e-06
35601,5.00003807246685e-06
35701,7.00005330145359e-06
35801,3.999914042651653e-06
35901,3.999914042651653e-06
36001,5.00003807246685e-06
36101,5.999929271638393e-06
36201,5.00003807246685e-06
36301,7.00005330145359e-06
36401,5.00003807246685e-06
36501,5.00003807246685e-06
36601,3.999914042651653e-06
36701,4.00003045797348e-06
36801,5.00003807246685e-06
36901,4.00003045797348e-06
37001,3.00002284348011e-06
37101,5.999929271638393e-06
37201,4.00003045797348e-06
37301,3.00002284348011e-06
37401,4.00003045797348e-06
37501,4.999921657145023e-06
37601,6.00004568696022e-06
37701,6.00004568696022e-06
37801,5.999929271638393e-06
37901,4.00003045797348e-06
38001,3.999914042651653e-06
38101,4.00003045797348e-06
38201,4.00003045797348e-06
38301,4.00003045797348e-06
38401,3.999914042651653e-06
38501,5.00003807246685e-06
38601,5.00003807246685e-06
38701,4.00003045797348e-06
38801,6.00004568696022e-06
38901,5.00003807246685e-06
39001,6.9999368861317635e-06
39101,3.999914042651653e-06
39201,4.00003045797348e-06
39301,5.00003807246685e-06
39401,5.00003807246685e-06
39501,4.00003045797348e-06
39601,7.00005330145359e-06
39701,5.999929271638393e-06
39801,4.00003045797348e-06
39901,4.999921657145023e-06
40001,4.00003045797348e-06
40101,4.00003045797348e-06
40201,5.00003807246685e-06
40301,5.00003807246685e-06
40401,3.999914042651653e-06
40501,3.00002284348011e-06
40601,4.00003045797348e-06
40701,4.999921657145023e-06
40801,5.00003807246685e-06
40901,3.999914042651653e-06
41001,4.00003045797348e-06
41101,5.00003807246685e-06
41201,4.999921657145023e-06
41301,2.9999064281582832e-06
41401,3.999914042651653e-06
41501,4.00003045797348e-06
41601,6.00004568696022e-06
41701,4.00003045797348e-06
41801,7.00005330145359e-06
41901,5.999929271638393e-06
42001,4.00003045797348e-06
42101,5.00003807246685e-06
42201,5.999929271638393e-06
42301,6.9999368861317635e-06
42401,4.999921657145023e-06
42501,3.00002284348011e-06
42601,5.00003807246685e-06
42701,5.00003807246685e-06
42801,4.00003045797348e-06
42901,4.00003045797348e-06
43001,3.999914042651653e-06
43101,5.999929271638393e-06
43201,4.00003045797348e-06
43301,4.00003045797348e-06
43401,4.00003045797348e-06
43501,5.999929271638393e-06
43601,6.00004568696022e-06
43701,3.999914042651653e-06
43801,4.00003045797348e-06
43901,5.00003807246685e-06
44001,5.999929271638393e-06
