n,T(n)
270,7.800001185387373e-05
271,8.000002708286047e-05
272,8.100003469735384e-05
273,8.099991828203201e-05
274,8.200004231184721e-05
275,8.699996396899223e-05
276,7.79998954385519e-05
277,8.100003469735384e-05
278,8.100003469735384e-05
279,8.200004231184721e-05
280,7.90000194683671e-05
281,9.600003249943256e-05
282,9.099999442696571e-05
283,8.79999715834856e-05
284,8.400005754083395e-05
285,8.000002708286047e-05
286,8.499994874000549e-05
287,8.500006515532732e-05
288,8.400005754083395e-05
289,8.500006515532732e-05
290,8.699996396899223e-05
291,8.399994112551212e-05
292,0.00017300003673881292
293,8.700008038431406e-05
294,8.400005754083395e-05
295,8.79999715834856e-05
296,8.699996396899223e-05
297,8.800008799880743e-05
298,0.00012199999764561653
299,8.700008038431406e-05
300,8.599995635449886e-05
301,8.699996396899223e-05
302,8.399994112551212e-05
303,8.599995635449886e-05
304,8.800008799880743e-05
305,8.899997919797897e-05
306,0.00011799996718764305
307,8.300004992634058e-05
308,8.699996396899223e-05
309,8.999998681247234e-05
310,8.90000956133008e-05
311,8.899997919797897e-05
312,9.099999442696571e-05
313,8.999998681247234e-05
314,8.899997919797897e-05
315,9.099999442696571e-05
316,8.699996396899223e-05
317,9.200000204145908e-05
318,9.099999442696571e-05
319,9.200000204145908e-05
320,9.300000965595245e-05
321,9.799993131309748e-05
322,8.999998681247234e-05
323,9.900005534291267e-05
324,0.00017300003673881292
325,9.300000965595245e-05
326,0.0001050001010298729
327,9.099999442696571e-05
328,9.50000248849392e-05
329,9.400001727044582e-05
330,9.400001727044582e-05
331,9.599991608411074e-05
332,9.799993131309748e-05
333,0.00010299996938556433
334,9.50000248849392e-05
335,9.50000248849392e-05
336,9.600003249943256e-05
337,0.0001330000814050436
338,0.00010699999984353781
339,0.0001140000531449914
340,0.00011500006075948477
341,9.600003249943256e-05
342,9.900005534291267e-05
343,9.80000477284193e-05
344,9.80000477284193e-05
345,0.00010699999984353781
346,9.700004011392593e-05
347,9.700004011392593e-05
348,9.50000248849392e-05
349,9.799993131309748e-05
350,9.799993131309748e-05
351,9.899993892759085e-05
352,9.999994654208422e-05
353,0.00018199998885393143
354,9.999994654208422e-05
355,0.00010999990627169609
356,9.899993892759085e-05
357,0.00010199996177107096
358,0.0001140000531449914
359,9.700004011392593e-05
360,0.00010199996177107096
361,0.00010499998461455107
362,0.00010100007057189941
363,9.80000477284193e-05
364,0.00011700007598847151
365,9.999994654208422e-05
366,0.00012400001287460327
367,0.00010200007818639278
368,0.00010199996177107096
369,9.999994654208422e-05
370,0.00010299996938556433
371,0.00010300008580088615
372,0.00010199996177107096
373,0.00011000002268701792
374,0.0001039999770000577
375,0.00010299996938556433
376,0.00010600010864436626
377,0.00011599995195865631
378,0.0001129999291151762
379,0.00012800004333257675
380,0.00010699999984353781
381,0.0001799999736249447
382,0.00011099991388618946
383,0.00010499998461455107
384,9.700004011392593e-05
385,9.700004011392593e-05
386,9.600003249943256e-05
387,9.700004011392593e-05
388,0.00010800000745803118
389,9.700004011392593e-05
390,9.700004011392593e-05
391,9.80000477284193e-05
392,0.00012500002048909664
393,0.00010499998461455107
394,9.799993131309748e-05
395,9.699992369860411e-05
396,9.899993892759085e-05
397,0.0001039999770000577
398,0.00011000002268701792
399,0.00011599995195865631
400,0.00011399993672966957
401,0.0001319999573752284
402,0.00011000002268701792
403,0.00010999990627169609
404,0.00011000002268701792
405,0.00010699999984353781
406,0.00019099994096904993
407,0.00011100003030151129
408,0.00011099991388618946
409,0.00011199992150068283
410,0.00011200003791600466
411,0.00014699995517730713
412,0.0001129999291151762
413,0.00011100003030151129
414,0.00011200003791600466
415,0.00011200003791600466
416,0.00011200003791600466
417,0.00014700007159262896
418,0.0001140000531449914
419,0.00011300004553049803
420,0.0001140000531449914
421,0.00012400001287460327
422,0.00010900001507252455
423,0.00012400001287460327
424,0.00011099991388618946
425,0.00011399993672966957
426,0.00011499994434416294
427,0.00011699995957314968
428,0.00011499994434416294
429,0.00011600006837397814
430,0.00019100005738437176
431,0.00011600006837397814
432,0.00011899997480213642
433,0.00011899997480213642
434,0.00011799996718764305
435,0.00014999997802078724
436,0.00011799996718764305
437,0.00011699995957314968
438,0.00011700007598847151
439,0.00011699995957314968
440,0.00013599998783320189
